"Vertical Axis: Sent/Received Requests/s","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"10.4079065914802","1.76875176959426",""
"15.5259268985304","2.5400587726627",""
"20.6337235598379","3.32825726903165",""
"25.7591476011616","4.29234228597043",""
"30.8806549435752","5.07664482544606",""
"36.0139459065328","6.23383906084768",""
"41.1565184960658","6.61149739518328",""
"46.3243537935687","7.54670380060676",""
"51.4474445774533","8.39339723101561",""
"56.5899730272982","9.3339618333462",""
"61.7437165896783","9.89574994579358",""
"66.8948763041113","10.8713748754932",""
"72.0401685130373","11.8555678734191",""
"77.1731340156361","12.6632836470756",""
"82.3400773003273","13.5477057185398",""
"87.5541436132246","14.1924205776822",""
"92.6764247970063","13.8610579276399",""
"97.8249903269829","15.9268319839891",""
"103.058523359812","16.4325448449362",""
"108.316504471937","17.116889583782",""
"113.493578094423","18.1570707473789",""
"118.745043853339","17.3285478977036",""
"123.960804795023","19.3644456301856",""
"129.196256507461","20.6286508532705",""
"134.381749077048","19.8632013040674",""
"139.587692569866","22.2822899497898",""
"144.918494110285","22.3231590263199",""
"150.174840657123","23.7803551636929",""
"155.420558199436","24.0201711364485",""
"160.666206459201","24.0199805304144",""
"165.957743232729","25.5125746573922",""
"171.239698341549","27.2627072889199",""
"176.525848117568","26.2952128300505",""
"181.792342043472","27.7225106033463",""
"187.062060401531","27.5157851528089",""
"192.302832343217","28.6218826701203",""
"197.61909628179","31.7893353827559",""
"202.828355000426","30.7146383615605",""
"208.074532377718","32.2140243871917",""
"213.374560733278","33.0188061391054",""
"218.701339416043","33.2284420872837",""
"224.010614198173","33.7146868850709",""
"229.298812279214","34.605468173017",""
"234.685905890274","35.4552099252773",""
"239.983899909067","35.2964878994792",""
"245.332771623209","38.8868214349695",""
"250.644353402458","38.7832881624616",""
"255.948087536265","37.8981566295966",""
"261.334436918659","41.0298189402632",""
"266.549518723748","39.6927550630284",""
"271.922237323459","42.064615047993",""
"277.274953380946","43.3426970177179",""
"282.475048644451","42.6917526473261",""
"287.86537618608","44.709963745695",""
"293.189744506634","44.5125280658814",""
"298.46896630717","46.5980013569263",""
"303.699077117343","46.2707550736524",""
"309.008990528126","48.5885521123797",""
"314.382161419957","48.3888061653553",""
"319.708875569381","48.9985737744958",""
"325.048957618915","50.3739871096889",""
"330.374014295113","50.1406375877727",""
"335.708114299443","52.4919675614549",""
"340.998619377602","51.4138596699951",""
"346.402503111429","52.7400894136467",""
"351.678807222706","51.9305342140881",""
"356.993102195949","56.2636297308773",""
"362.390871744873","58.357718560279",""
"367.735432855293","55.1965859282407",""
"373.103420127418","58.4952209368856",""
"378.405623619762","55.8261674375125",""
"383.758993112253","59.402612243637",""
"389.101551454165","61.0197456713315",""
"394.548442888691","58.3822111341895",""
"399.792984583236","61.9695166572968",""
"405.102069955818","64.041482812974",""
"410.493749903968","62.8749646690759",""
"415.814449043105","65.4052716154426",""
"421.181102626172","66.1495601632518",""
"426.588174754054","66.2104022817499",""
"431.795929091547","65.0955612103835",""
"437.363709074757","68.7889724858307",""
"442.743535002354","68.4040554328974",""
"448.123188002945","69.3360183289627",""
"453.431681400848","68.5697146068552",""
"458.799486247554","67.812054626266",""
"464.188155198496","74.0606039722836",""
"469.442832259407","70.0331942883452",""
"474.828182352785","60.5364282557225",""
"480.239600563759","72.8093478039217",""
"485.633144994685","69.7132117237173",""
"491.026267584288","75.097442498009",""
"496.431565184961","70.3017617936195",""
"501.794961650154","74.5994433298839",""
"507.174490891999","74.5422140020575",""
"512.525505057207","73.6312903324328",""
"517.979019959241","73.5309019087177",""
"523.304406006909","70.0422342773927",""
"528.61825734835","70.19424528966",""
"534.025541514354","73.0503913376157",""
"539.354269606891","71.874931714487",""
"544.783625572524","72.9371878751056",""
"550.186164442688","73.4843112001055",""
"555.543130202302","71.6827248238042",""
"560.918614516649","73.2960717184182",""
"566.377414727291","71.2614303790828",""
"571.817578491121","72.7922889359712",""
"577.28454733772","75.0016647293799",""
"582.867483157776","73.617553636813",""
"588.299283009433","68.6700162560029",""
"593.659213950376","72.3893281698528",""
"599.120376472429","73.6110622153313",""
